,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,red
601,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,0
602,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,0
603,6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7,0
604,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,0
605,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6,0
606,6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,6,0
607,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,0
608,5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.33333333,5,0
609,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5,0
610,7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6,0
611,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6,0
612,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5,0
613,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,0
614,6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6,0
615,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4,0
616,7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5,0
617,6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6,0
618,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5,0
619,6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7,0
620,7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6,0
621,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5,0
622,6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6,0
623,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,0
624,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,0
625,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6,0
626,6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9,6,0
627,6.9,0.54,0.26,12.7,0.049,59,195,0.99596,3.26,0.54,10.5,6,0
628,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,0
629,6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6,0
630,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6,0
631,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6,0
632,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,0
633,6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4,0
634,6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6,0
635,5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6,0
636,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8,0
637,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,0
638,5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,6,0
639,5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,6,0
640,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6,0
641,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.43333333,6,0
642,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5,0
643,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,0
644,6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6,0
645,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6,0
646,7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6,0
647,6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,0
648,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,0
649,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,0
650,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5,0
651,8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5,0
652,7,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6,0
653,6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,5,0
654,6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,6,0
655,7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,5,0
656,7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6,0
657,6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,4,0
658,6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,0
659,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,0
660,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6,0
661,6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,6,0
662,6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6,0
663,8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6,0
664,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,0
665,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7,0
666,6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6,0
667,7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6,0
668,6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6,0
669,6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6,0
670,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,0
671,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5,0
672,6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8,0
673,6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6,0
674,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8,0
675,6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,6,0
676,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,0
677,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,5,0
678,6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6,0
679,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7,0
680,7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,0
681,6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7,0
682,8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6,0
683,7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5,0
684,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,0
685,7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7,0
686,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,0
687,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,0
688,6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,0
689,8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6,0
690,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4,0
691,7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6,0
692,7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,0
693,6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6,0
694,7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,6,0
695,7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,0
696,6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,6,0
697,7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,0
698,7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5,0
699,6,0.27,0.4,1.7,0.021,18,82,0.9891,3.24,0.95,13.13333333,6,0
700,6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,5,0
701,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5,0
702,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6,0
703,7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,6,0
704,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,0
705,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,0
706,7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,5,0
707,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,0
708,6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5,0
709,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,0
710,6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6,0
711,6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,6,0
712,7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,7,0
713,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,0
714,7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,0
715,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,0
716,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,0
717,6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6,0
718,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6,0
719,6.9,0.4,0.3,10.6,0.033,24,87,0.99265,3.15,0.45,12.8,6,0
720,7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7,0
721,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8,0
722,7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5,0
723,5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8,0
724,7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6,0
725,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6,0
726,6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,0
727,5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7,0
728,9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,0
729,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6,0
730,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5,0
731,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,0
732,5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6,0
733,7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7,0
734,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7,0
735,8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6,0
736,6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,7,0
737,6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4,0
738,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7,0
739,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,0
740,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,0
741,6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,6,0
742,6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5,0
743,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,0
744,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5,0
745,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4,0
746,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,0
747,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6,0
748,7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6,0
749,7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5,0
750,6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5,0
751,7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5,0
752,7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,7,0
753,6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,0
754,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5,0
755,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7,0
756,8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6,0
757,6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,7,0
758,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5,0
759,5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6,0
760,6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5,0
761,7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5,0
762,6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5,0
763,6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5,0
764,5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5,0
765,6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7,0
766,6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5,0
767,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,0
768,7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7,0
769,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7,0
770,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,0
771,7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,7,0
772,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5,0
773,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6,0
774,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,0
775,8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7,0
776,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,6,0
777,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7,0
778,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,0
779,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,0
780,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,0
781,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7,0
782,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,0
783,8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6,0
784,7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6,0
785,6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7,0
786,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6,0
787,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,0
788,8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6,0
789,6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7,0
790,6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,0
791,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,6,0
792,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,0
793,6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,6,0
794,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7,0
795,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,0
796,6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6,0
797,6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,6,0
798,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,0
799,6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4,6,0
800,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,0
801,6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5,0
802,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,0
803,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,0
804,7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5,0
805,7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6,0
806,6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,6,0
807,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,0
808,6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7,0
809,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,0
810,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6,0
811,6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5,0
812,7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6,0
813,7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7,0
814,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,0
815,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,6,0
816,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7,0
817,6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5,0
818,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5,0
819,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7,0
820,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6,0
821,7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6,0
822,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5,0
823,7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6,0
824,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4,0
825,6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,7,0
826,5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,6,0
827,6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,0
828,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,0
829,6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7,0
830,7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7,0
831,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7,0
832,6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6,0
833,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,0
834,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,0
835,6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5,0
836,7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5,0
837,6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5,0
838,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,0
839,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,0
840,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6,0
841,5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5,0
842,6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6,0
843,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6,0
844,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6,0
845,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,0
846,7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7,0
847,7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5,0
848,6.5,0.15,0.32,1.3,0.036,19,76,0.98964,3.18,0.41,12.3,6,0
849,6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,0
850,6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5,0
851,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,0
852,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,0
853,6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,0
854,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5,0
855,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,0
856,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,0
857,7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6,0
858,6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7,0
859,7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7,0
860,6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,7,0
861,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,0
862,6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3,6,0
863,7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5,0
864,6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,7,0
865,6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6,0
866,9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,7,0
867,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6,0
868,7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7,0
869,7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5,0
870,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5,0
871,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,0
872,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7,0
873,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6,0
874,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,0
875,7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7,0
876,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,7,0
877,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7,0
878,7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6,0
879,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6,0
880,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,0
881,7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6,0
882,6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6,0
883,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6,0
884,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6,0
885,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6,0
886,6,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3,7,0
887,6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7,0
888,7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8,0
889,6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,0
890,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5,0
891,8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5,0
892,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,0
893,7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,0
894,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5,0
895,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8,0
896,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,0
897,6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7,0
898,5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6,0
899,6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6,0
900,7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,6,0
901,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,0
